bar_id,section,length_mm,qty
G01,L100x8,5126,1
G02,L100x8,5126,1
G03,L100x8,5126,1
G04,L100x8,5126,1
G05,L80x6,5990,1
G06,L80x6,5990,1
G07,L80x6,5990,1
G08,L80x6,5990,1
G09,L80x6,5990,1
G10,L80x6,5990,1
G11,L80x6,5990,1
G12,L80x6,5990,1
G13,L100x8,2078,1
G14,L100x8,2078,1
G15,L100x8,2078,1
G16,L100x8,2078,1
G17,L100x10,3298,1
G18,L100x10,3298,1
G19,L100x10,3298,1
G20,L100x10,3298,1
G21,L80x6,5112,1
G22,L80x6,5112,1
G23,L80x6,5590,1
G24,L80x6,5112,1
G25,L80x6,5112,1
G26,L80x6,5590,1
